#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
devilfshg;Devil Fish (Galaxian hardware);Arcade;devilfsh;1982;Artic;Maze / Collect;2;;;good;0;;devilfsh;;;;;;;
devilfshgb;Devil Fish (Galaxian hardware, bootleg);Arcade;devilfsh;1984;bootleg (Vision);Maze / Collect;2;;;good;0;;devilfsh;;;;;;;
devilfsh;Devil Fish (Scramble hardware);Arcade;;1982;Artic;Maze / Collect;2;;;good;0;;;;;;;;;
devilw;Devil World;Arcade;;1987;Konami;Shooter / Walking;2;;;good;0;;;;;;;;;
dharma;Dharma Doujou;Arcade;;1994;Metro;Maze / Blocks;2;;;good;0;;;;;;;;;
dharmag;Dharma Doujou (Germany);Arcade;dharma;1994;Metro;Maze / Blocks;2;;;good;0;;dharma;;;;;;;
dharmaj;Dharma Doujou (Japan);Arcade;dharma;1994;Metro;Maze / Blocks;2;;;good;0;;dharma;;;;;;;
dharmak;Dharma Doujou (Korea);Arcade;dharma;1994;Metro;Maze / Blocks;2;;;good;0;;dharma;;;;;;;
diamond;diamond;Arcade;;;;Maze / Digging;2;;;;;;;;;;;;;
diamrun;Diamond Run;Arcade;;1985;KH Video;;;;;good;0;;;;;;;;;
dicegame;Dice - The Dice Game!;Arcade;;1991;bootleg (Tuning);Maze / Move and Sort;2;;;good;0;;;;;;;;;
dtfamily;Diet Family;Arcade;;2001;SemiCom;Shooter / Gallery;2;;;good;0;;;;;;;;;
dietgoea;Diet Go Go (Europe v1.1 1992.08.04);Arcade;dietgo;1992;Data East Corporation;Platform / Run Jump;2;;;good;0;;dietgo;;;;;;;
dietgoe;Diet Go Go (Europe v1.1 1992.09.26 v2);Arcade;dietgo;1992;Data East Corporation;Platform / Run Jump;2;;;good;0;;dietgo;;;;;;;
dietgo;Diet Go Go (Europe v1.1 1992.09.26 v3);Arcade;;1992;Data East Corporation;Platform / Run Jump;2;;;good;0;;;;;;;;;
dietgoj;Diet Go Go (Japan v1.1 1992.09.26);Arcade;dietgo;1992;Data East Corporation;Platform / Run Jump;2;;;good;0;;dietgo;;;;;;;
dietgou;Diet Go Go (USA v1.1 1992.09.26);Arcade;dietgo;1992;Data East Corporation;Platform / Run Jump;2;;;good;0;;dietgo;;;;;;;
digdugat;Dig Dug (Atari, rev 2);Arcade;digdug;1982;Namco (Atari license);Maze / Digging;2;;;good;0;;digdug;;;;;;;
digdug1;Dig Dug (rev 1);Arcade;digdug;1982;Namco;Maze / Digging;2;;;good;0;;digdug;;;;;;;
digdug;Dig Dug (rev 2);Arcade;;1982;Namco;Maze / Digging;2;;;good;0;;;;;;;;;
digdug2;Dig Dug II (New Ver.);Arcade;;1985;Namco;Maze / Collect;2;;;good;0;;;;;;;;;
digdug2o;Dig Dug II (Old Ver.);Arcade;digdug2;1985;Namco;Maze / Collect;2;;;good;0;;digdug2;;;;;;;
diggerma;Digger Man (prototype);Arcade;;2000;Kyle Hodgetts;Maze / Digging;2;;;good;0;;neogeo;;;;;;;
dimahoo;Dimahoo (Europe 000121);Arcade;;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;2;;;good;0;;;;;;;;;
dimahoud;Dimahoo (USA 000121 Phoenix Edition) (bootleg);Arcade;dimahoo;2000;bootleg;Shooter / Flying Vertical;2;;;good;0;;dimahoo;;;;;;;
dimahoou;Dimahoo (USA 000121);Arcade;dimahoo;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;2;;;good;0;;dimahoo;;;;;;;
dingo;Dingo;Arcade;;1983;Ashby Computers and Graphics Ltd. (Jaleco license);Maze / Collect;2;;;good;0;;;;;;;;;
dinorexj;Dino Rex (Japan);Arcade;dinorex;1992;Taito Corporation;Fighter / Versus;2;;;good;0;;dinorex;;;;;;;
dinorexu;Dino Rex (US);Arcade;dinorex;1992;Taito America Corporation;Fighter / Versus;2;;;good;0;;dinorex;;;;;;;
dinorex;Dino Rex (World);Arcade;;1992;Taito Corporation Japan;Fighter / Versus;2;;;good;0;;;;;;;;;
dinohunt;Dinosaur Hunter (Chinese bootleg of Cadillacs and Dinosaurs);Arcade;dino;1993;bootleg;Fighter / 2.5D;3;;;good;0;;dino;;;;;;;
dirtfoxj;Dirt Fox (Japan);Arcade;;1989;Namco;Driving / Race;1;;;good;0;;;;;;;;;
discoboy;Disco Boy;Arcade;;1993;Soft Art Co.;Shooter / Gallery * Mature *;2;;;good;0;;;;;;;;;
discoboyp;Disco Boy (Promat license);Arcade;discoboy;1993;Soft Art Co. / Promat;Shooter / Gallery * Mature *;2;;;good;0;;discoboy;;;;;;;
disco;Disco No.1;Arcade;;1982;Data East;Maze / Outline;2;;;good;0;;;;;;;;;
cdiscon1;Disco No.1 (DECO Cassette) (US);Arcade;;1982;Data East Corporation;Puzzle / Outline;2;;;good;0;;decocass;;;;;;;
discof;Disco No.1 (Rev.F);Arcade;disco;1982;Data East;Maze / Outline;2;;;good;0;;disco;;;;;;;
dotrone;Discs of Tron (Environmental);Arcade;dotron;1983;Bally Midway;Sports / Misc.;2;;;good;0;;dotron;;;;;;;
dotron;Discs of Tron (Upright, 10/4/83);Arcade;;1983;Bally Midway;Sports / Misc.;2;;;good;0;;midssio;;;;;;;
dotrona;Discs of Tron (Upright, 9/22/83);Arcade;dotron;1983;Bally Midway;Sports / Misc.;2;;;good;0;;dotron;;;;;;;
diverboy;Diver Boy;Arcade;;1992;Gamart (Electronic Devices Italy license);Platform / Run Jump;2;;;good;0;;;;;;;;;
djboyj;DJ Boy (Japan, set 1);Arcade;djboy;1989;Kaneko (Sega license);Fighter / 2.5D;2;;;good;0;;djboy;;;;;;;
djboyja;DJ Boy (Japan, set 2);Arcade;djboy;1989;Kaneko (Sega license);Fighter / 2.5D;2;;;good;0;;djboy;;;;;;;
djboyu;DJ Boy (US, set 1);Arcade;djboy;1990;Kaneko (American Sammy license);Fighter / 2.5D;2;;;good;0;;djboy;;;;;;;
djboyua;DJ Boy (US, set 2);Arcade;djboy;1990;Kaneko (American Sammy license);Fighter / 2.5D;2;;;good;0;;djboy;;;;;;;
djboy;DJ Boy (World);Arcade;;1989;Kaneko;Fighter / 2.5D;2;;;good;0;;;;;;;;;
djgirl;DJ Girl (Promat license);Arcade;discoboy;1993;Soft Art Co. / Promat;Shooter / Gallery * Mature *;2;;;good;0;;discoboy;;;;;;;
dorunrunc;Do! Run Run (Do's Castle hardware, set 1);Arcade;dorunrun;1984;Universal;Maze / Collect;2;;;good;0;;dorunrun;;;;;;;
dorunrunca;Do! Run Run (Do's Castle hardware, set 2);Arcade;dorunrun;1984;Universal;Maze / Collect;2;;;good;0;;dorunrun;;;;;;;
dorunrun;Do! Run Run (set 1);Arcade;;1984;Universal;Maze / Collect;2;;;good;0;;;;;;;;;
dorunrun2;Do! Run Run (set 2);Arcade;dorunrun;1984;Universal;Maze / Collect;2;;;good;0;;dorunrun;;;;;;;
dockman;Dock Man (set 1);Arcade;;1982;Taito Corporation;Platform / Run Jump;2;;;good;0;;;;;;;;;
dockmanb;Dock Man (set 2);Arcade;dockman;1982;Taito Corporation;Platform / Run Jump;2;;;good;0;;dockman;;;;;;;
dockmanc;Dock Man (set 3);Arcade;dockman;1982;Taito Corporation;Platform / Run Jump;2;;;good;0;;dockman;;;;;;;
dodgeman;Dodge Man;Arcade;;1983;Omori Electric Co., Ltd.;Shooter / Flying Horizontal;2;;;good;0;;;;;;;;;
ddonpacha;DoDonPachi (2012/02/12 Arrange Ver. 1.1) (hack);Arcade;ddonpach;2012;hack (trap15);Shooter / Flying Vertical;1;;;good;0;;ddonpach;;;;;;;
ddonpachj;DoDonPachi (Japan, 1997 2/ 5 Master Ver.);Arcade;ddonpach;1997;Cave (Atlus license);Shooter / Flying Vertical;2;;;good;0;;ddonpach;;;;;;;
ddonpach;DoDonPachi (World, 1997 2/ 5 Master Ver.);Arcade;;1997;Cave (Atlus license);Shooter / Flying Vertical;2;;;good;0;;;;;;;;;
ddp2100c;DoDonPachi - Feng Bao (China, ver. 100);Arcade;ddp2;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2101c;DoDonPachi - Feng Bao (China, ver. 101);Arcade;ddp2;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2c;DoDonPachi - Feng Bao (China, ver. 102);Arcade;ddp2;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2100t;DoDonPachi - Feng Bao (Taiwan, ver. 100);Arcade;ddp2;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2101t;DoDonPachi - Feng Bao (Taiwan, ver. 101);Arcade;ddp2;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
ddp2t;DoDonPachi - Feng Bao (Taiwan, ver. 102);Arcade;ddp2;2001;IGS;Shooter / Flying Vertical;2;;;good;0;;ddp2;;;;;;;
dfkbl;DoDonPachi Dai-Fukkatsu Black Label (2010/1/18 BLACK LABEL);Arcade;;2010;Cave;Shooter / Flying Vertical;2;;;good;0;;;;;;;;;
ddpdfk10;DoDonPachi Dai-Fukkatsu Ver 1.0 (2008/05/16 MASTER VER);Arcade;ddpdfk;2008;Cave (AMI license);Shooter / Flying Vertical;2;;;good;0;;ddpdfk;;;;;;;
ddpdfk;DoDonPachi Dai-Fukkatsu Ver 1.5 (2008/06/23 MASTER VER 1.5);Arcade;;2008;Cave (AMI license);Shooter / Flying Vertical;2;;;good;0;;;;;;;;;
ddpdojb;DoDonPachi Dai-Ou-Jou (Japan, 2002.04.05 Master Ver);Arcade;ddp3;2002;Cave (AMI license);Shooter / Flying Vertical;2;;;good;0;;ddp3;;;;;;;
ddpdojp;DoDonPachi Dai-Ou-Jou (Japan, 2002.04.05 Master Ver, location test);Arcade;ddp3;2002;Cave (AMI license);Shooter / Flying Vertical;2;;;good;0;;ddp3;;;;;;;
ddpdoja;DoDonPachi Dai-Ou-Jou (Japan, 2002.04.05.Master Ver, 68k Label V100);Arcade;ddp3;2002;Cave (AMI license);Shooter / Flying Vertical;2;;;good;0;;ddp3;;;;;;;
ddpdoj;DoDonPachi Dai-Ou-Jou (Japan, 2002.04.05.Master Ver, 68k Label V101);Arcade;ddp3;2002;Cave (AMI license);Shooter / Flying Vertical;2;;;good;0;;ddp3;;;;;;;
