#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
NHL All-Star Hockey 95 (USA) (Beta) (1994-12-01);NHL All-Star Hockey 95 (USA) (Beta) (1994-12-01);Mega Drive;NHL All-Star Hockey 95 (USA);1995;Gray Matter;Sports;1-2;0;;;;;;;;;;;us;6
NHL All-Star Hockey 95 (USA) (Beta) (1994-12-01) (Alt);NHL All-Star Hockey 95 (USA) (Beta) (1994-12-01) (Alt);Mega Drive;NHL All-Star Hockey 95 (USA);1995;Gray Matter;Sports;1-2;0;;;;;;;;;;;us;6
NHL All-Star Hockey 95 (USA) (Beta) (1994-12-02);NHL All-Star Hockey 95 (USA) (Beta) (1994-12-02);Mega Drive;NHL All-Star Hockey 95 (USA);1995;Gray Matter;Sports;1-2;0;;;;;;;;;;;us;6
NHL Hockey (USA) (Rev 1) (Beta) (1991-09-18);NHL Hockey (USA) (Rev 1) (Beta) (1991-09-18);Mega Drive;NHL Hockey (USA);1991;Park Place Production Team;Sports;1-2;0;;;;;;;;;;;eu,us;
NHL Hockey (USA);NHL Hockey (USA);Mega Drive;;1991;Park Place Production Team;Sports;1-2;0;;;;;;;;;;;eu,us;
NHLPA Hockey (USA) (Proto) (HeartBeat Catalyst);NHLPA Hockey (USA) (Proto) (HeartBeat Catalyst);Mega Drive;;;;;;;;;;;;;;;;;;
NHLPA Hockey 93 (USA, Europe) (Rev A) (EASN) (Sample);NHLPA Hockey 93 (USA, Europe) (Rev A) (EASN) (Sample);Mega Drive;NHLPA Hockey 93 (USA, Europe) (EA Sports);1992;Park Place Productions;Sports;1-2;0;;;;;;;;;;;eu,us;11
NHLPA Hockey 93 (USA, Europe) (EASN);NHLPA Hockey 93 (USA, Europe) (EASN);Mega Drive;NHLPA Hockey 93 (USA, Europe) (EA Sports);1992;Park Place Productions;Sports;1-2;0;;;;;;;;;;;eu,us;11
NHLPA Hockey 93 (USA, Europe) (Rev A) (EASN);NHLPA Hockey 93 (USA, Europe) (Rev A) (EASN);Mega Drive;NHLPA Hockey 93 (USA, Europe) (EA Sports);1992;Park Place Productions;Sports;1-2;0;;;;;;;;;;;eu,us;11
NHLPA Hockey 93 (USA, Europe) (EA Sports);NHLPA Hockey 93 (USA, Europe) (EA Sports);Mega Drive;;1992;Park Place Productions;Sports;1-2;0;;;;;;;;;;;eu,us;11
Nigel Mansell's World Championship Racing (Europe);Nigel Mansell's World Championship Racing (Europe);Mega Drive;;1993;Gremlin Interactive;Racing, Driving;1;0;;;;;;;;;;;eu,us;3
